J0010,10,BU2,027,91,1850,40,40,0,4.0,4.2,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0020,20,BU2,027,91,1470,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0030,30,BU2,027,92,1850,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0040,40,BU2,027,92,1470,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0050,50,BU2,027,5U,1297,40,40,0,4.0,4.0,7196030002,7196030002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0060,60,BU2,027,5U,1306,40,40,0,4.0,4.0,7196030002,7196030002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0070,70,BU2,027,52,1291,40,40,0,4.0,4.0,7196030002,7196030002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0080,80,BU2,027,52,1301,40,40,0,4.0,4.0,7196030002,7196030002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0090,90,BU2,027,60,1289,40,40,0,4.0,4.0,7196030002,7196030002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0100,100,BU2,027,60,1303,40,40,0,4.0,4.0,7196030002,7196030002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0110,110,BU2,027,60,1919,40,40,0,4.0,4.0,7196030002,7116753102,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0120,120,BU2,027,60,2359,40,40,0,4.0,4.0,7196030002,7116753102,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0130,130,BU2,027,80,1916,40,40,0,4.0,4.0,7196030002,7116753102,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0140,140,BU2,027,80,2361,40,40,0,4.0,4.0,7196030002,7116753102,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0150,150,BU2,027,90,1914,40,40,0,4.0,4.0,7196030002,7116753102,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J0160,160,BU2,027,90,2359,40,40,0,4.0,4.0,7196030002,7116753102,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,2,0,2,,,
J9000,9000,BU2,027,60,80,3,3,0,10.0,10.0,STRIP ONLY,STRIP ONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,8,0,8,,,
J9010,9010,BU2,027,60,400,1,1,0,15.0,15.0,STRIP ONLY,STRIP ONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,10,,IA-CIVUS 0.13,,,0,13,0,13,,,
A0010,10,BU2,027,60,1142,40,40,0,4.0,4.35,7116509602,7116681002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0020,20,BU2,027,50,1142,40,40,0,4.0,4.35,7116509602,7116681002,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0030,30,BU2,027,52,1240,40,40,0,4.0,4.0,7116509602,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0040,40,BU2,027,52,1220,40,40,0,4.0,4.0,7116509602,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0045,45,BU2,027,91,1850,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,,0,2,0,2,,,
A0046,46,BU2,027,91,1470,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,,0,2,0,2,,,
A0047,47,BU2,027,92,1850,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,,0,2,0,2,,,
A0049,49,BU2,027,92,1470,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,,0,2,0,2,,,
A0050,50,BU2,027,61,423,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0060,60,BU2,027,61,413,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0070,70,BU2,027,50,383,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0080,80,BU2,027,50,423,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0090,90,BU2,027,50,383,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0100,100,BU2,027,50,413,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0110,110,BU2,027,40,393,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0120,120,BU2,027,40,1739,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0125,125,BU2,027,40,1739,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0130,130,BU2,027,40,383,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0150,150,BU2,027,80,393,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
A0160,160,BU2,027,80,383,40,40,0,4.0,4.0,7196030002,7116509602,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,4,9,1,,IA-CIVUS 0.13,,
